txn_id,user_id,amount,timestamp,location,device_id,merchant
T001,U001,4500,2025-01-15T09:00:00,Chennai,D01,Amazon
T002,U001,4800,2025-01-15T09:05:00,Chennai,D01,Swiggy
T003,U001,5200,2025-01-15T09:20:00,Chennai,D01,Zomato
T004,U002,3000,2025-01-15T09:10:00,Bangalore,D02,Flipkart
T005,U002,3500,2025-01-15T09:40:00,Bangalore,D02,Myntra
T006,U003,12000,2025-01-15T09:15:00,Mumbai,D03,Croma
T007,U003,11500,2025-01-15T10:00:00,Mumbai,D03,Amazon
T008,U004,2000,2025-01-15T09:30:00,Delhi,D04,BigBasket
T009,U004,2100,2025-01-15T10:15:00,Delhi,D04,Amazon
T010,U005,7000,2025-01-15T09:45:00,Pune,D05,Myntra
T011,U001,4700,2025-01-15T10:01:00,Chennai,D01,BigBasket
T012,U001,4600,2025-01-15T10:02:00,Chennai,D01,Amazon
T013,U001,4900,2025-01-15T10:03:00,Chennai,D01,Swiggy
T014,U001,180000,2025-01-15T10:05:00,Mumbai,D06,Croma
T015,U999,5000,2025-01-15T10:10:00,Delhi,D07,Flipkart
T016,U999,7000,2025-01-15T11:00:00,Delhi,D07,Amazon
T017,U006,3200,2025-01-15T09:50:00,Hyderabad,D08,Zomato
T018,U006,3300,2025-01-15T10:30:00,Hyderabad,D08,Swiggy
T019,U007,2900,2025-01-15T09:55:00,Kolkata,D09,BigBasket
T020,U008,3100,2025-01-15T10:20:00,Kolkata,D01,Myntra
T021,U009,4100,2025-01-15T10:25:00,Chennai,D10,Amazon
T022,U010,15000,2025-01-15T09:35:00,Delhi,D11,Croma
T023,U011,4300,2025-01-15T09:12:00,Pune,D12,Flipkart
T024,U011,4400,2025-01-15T09:42:00,Pune,D12,Amazon
T025,U012,2500,2025-01-15T09:22:00,Mumbai,D13,Swiggy
T026,U012,2600,2025-01-15T10:52:00,Mumbai,D13,Zomato
T027,U013,3900,2025-01-15T09:33:00,Bangalore,D14,Myntra
T028,U014,4200,2025-01-15T09:44:00,Chennai,D15,BigBasket
T029,U014,4250,2025-01-15T09:46:00,Chennai,D15,Amazon
T030,U014,4300,2025-01-15T09:48:00,Chennai,D15,Swiggy
T031,U014,4350,2025-01-15T09:49:00,Chennai,D15,Zomato
T032,U015,5000,2025-01-15T10:40:00,Delhi,D16,Croma
T033,U016,6000,2025-01-15T10:45:00,Mumbai,D17,Flipkart
T034,U017,3700,2025-01-15T10:50:00,Pune,D18,Amazon
T035,U018,2800,2025-01-15T10:55:00,Hyderabad,D19,Swiggy
